時間,設備,值
2024-10-26 10:22:25,SA-37/TEMPERATURE,28.44883
2024-10-26 10:22:27,SA-37/TEMPERATURE,27.98069
2024-10-26 10:22:27,SA-37/LINE_LEVEL,576
2024-10-26 10:22:29,SA-37/TEMPERATURE,28.44883
2024-10-26 10:22:29,SA-37/LINE_LEVEL,560
2024-10-26 10:22:33,SA-37/TEMPERATURE,27.98069
2024-10-26 10:22:35,SA-37/TEMPERATURE,28.44883
2024-10-26 10:22:35,SA-37/LINE_LEVEL,544
2024-10-26 10:22:37,SA-37/TEMPERATURE,27.98069
2024-10-26 10:22:39,SA-37/LINE_LEVEL,560
2024-10-26 10:22:45,SA-37/LINE_LEVEL,576
2024-10-26 10:22:47,SA-37/LINE_LEVEL,560
2024-10-26 10:22:53,SA-37/LINE_LEVEL,544
2024-10-26 10:22:55,SA-37/LINE_LEVEL,576
2024-10-26 10:22:57,SA-37/LINE_LEVEL,560
2024-10-26 10:22:59,SA-37/LINE_LEVEL,576
2024-10-26 10:23:01,SA-37/LINE_LEVEL,560
2024-10-26 10:23:05,SA-37/LINE_LEVEL,544
2024-10-26 10:23:09,SA-37/LINE_LEVEL,560
2024-10-26 10:23:11,SA-37/LINE_LEVEL,544
2024-10-26 10:23:15,SA-37/LINE_LEVEL,560
2024-10-26 10:23:17,SA-37/LINE_LEVEL,544
2024-10-26 10:23:21,SA-37/TEMPERATURE,27.51254
2024-10-26 10:23:25,SA-37/TEMPERATURE,27.98069
2024-10-26 10:23:25,SA-37/LINE_LEVEL,560
2024-10-26 10:23:31,SA-37/TEMPERATURE,27.51254
2024-10-26 10:23:37,SA-37/TEMPERATURE,27.98069
2024-10-26 10:23:39,SA-37/LINE_LEVEL,544
2024-10-26 10:23:42,SA-37/LINE_LEVEL,560
2024-10-26 10:23:45,SA-37/TEMPERATURE,27.51254
2024-10-26 10:23:45,SA-37/LINE_LEVEL,544
2024-10-26 10:23:49,SA-37/LINE_LEVEL,560
2024-10-26 10:23:59,SA-37/LINE_LEVEL,544
2024-10-26 10:24:01,SA-37/LINE_LEVEL,560
2024-10-26 10:24:03,SA-37/LINE_LEVEL,544
2024-10-26 10:24:05,SA-37/LINE_LEVEL,576
2024-10-26 10:24:07,SA-37/LINE_LEVEL,560
2024-10-26 10:24:09,SA-37/LINE_LEVEL,544
2024-10-26 10:24:11,SA-37/LINE_LEVEL,560
2024-10-26 10:24:13,SA-37/LINE_LEVEL,544
2024-10-26 10:24:23,SA-37/LINE_LEVEL,560
2024-10-26 10:24:23,SA-37/LINE_LEVEL,544
2024-10-26 10:24:25,SA-37/LINE_LEVEL,560
2024-10-26 10:24:29,SA-37/LINE_LEVEL,544
2024-10-26 10:24:31,SA-37/LINE_LEVEL,560
2024-10-26 10:24:33,SA-37/LINE_LEVEL,544
2024-10-26 10:24:40,SA-37/LINE_LEVEL,560
2024-10-26 10:24:47,SA-37/LINE_LEVEL,544
2024-10-26 10:24:49,SA-37/LINE_LEVEL,560
2024-10-26 10:24:51,SA-37/TEMPERATURE,27.0444
2024-10-26 10:24:51,SA-37/LINE_LEVEL,544
2024-10-26 10:24:53,SA-37/TEMPERATURE,27.51254
2024-10-26 10:24:57,SA-37/LINE_LEVEL,576
2024-10-26 10:24:57,SA-37/LINE_LEVEL,560
2024-10-26 10:25:01,SA-37/LINE_LEVEL,544
2024-10-26 10:25:03,SA-37/LINE_LEVEL,560
2024-10-26 10:25:05,SA-37/LINE_LEVEL,544
2024-10-26 10:25:10,SA-37/LINE_LEVEL,560
2024-10-26 10:25:12,SA-37/LINE_LEVEL,544
2024-10-26 10:25:17,SA-37/TEMPERATURE,27.0444
2024-10-26 10:25:17,SA-37/LINE_LEVEL,560
2024-10-26 10:25:19,SA-37/TEMPERATURE,27.51254
2024-10-26 10:25:23,SA-37/TEMPERATURE,27.98069
2024-10-26 10:25:23,SA-37/TEMPERATURE,27.51254
2024-10-26 10:25:26,SA-37/LINE_LEVEL,544
2024-10-26 10:25:28,SA-37/LINE_LEVEL,560
2024-10-26 10:25:30,SA-37/LINE_LEVEL,544
2024-10-26 10:25:31,SA-37/TEMPERATURE,27.98069
2024-10-26 10:25:31,SA-37/LINE_LEVEL,560
2024-10-26 10:25:34,SA-37/TEMPERATURE,27.51254
2024-10-26 10:25:34,SA-37/LINE_LEVEL,544
2024-10-26 10:25:35,SA-37/LINE_LEVEL,576
2024-10-26 10:25:37,SA-37/TEMPERATURE,27.98069
2024-10-26 10:25:37,SA-37/LINE_LEVEL,544
2024-10-26 10:25:41,SA-37/TEMPERATURE,27.51254
2024-10-26 10:25:44,SA-37/LINE_LEVEL,560
2024-10-26 10:25:45,SA-37/TEMPERATURE,27.98069
2024-10-26 10:25:49,SA-37/LINE_LEVEL,544
2024-10-26 10:25:52,SA-37/TEMPERATURE,27.51254
2024-10-26 10:25:52,SA-37/LINE_LEVEL,560
2024-10-26 10:25:53,SA-37/TEMPERATURE,27.98069
2024-10-26 10:25:53,SA-37/LINE_LEVEL,576
2024-10-26 10:25:57,SA-37/TEMPERATURE,28.44883
2024-10-26 10:25:57,SA-37/LINE_LEVEL,560
2024-10-26 10:25:59,SA-37/TEMPERATURE,27.98069
2024-10-26 10:26:01,SA-37/LINE_LEVEL,544
2024-10-26 10:26:03,SA-37/LINE_LEVEL,560
2024-10-26 10:26:07,SA-37/LINE_LEVEL,544
2024-10-26 10:26:09,SA-37/LINE_LEVEL,560
2024-10-26 10:26:12,SA-37/TEMPERATURE,28.44883
2024-10-26 10:26:12,SA-37/LINE_LEVEL,544
2024-10-26 10:26:13,SA-37/TEMPERATURE,27.98069
2024-10-26 10:26:13,SA-37/LINE_LEVEL,560
2024-10-26 10:26:17,SA-37/LINE_LEVEL,544
2024-10-26 10:26:25,SA-37/LINE_LEVEL,560
2024-10-26 10:26:27,SA-37/LINE_LEVEL,544
2024-10-26 10:26:30,SA-37/LINE_LEVEL,560
2024-10-26 10:26:31,SA-37/LINE_LEVEL,544
2024-10-26 10:26:35,SA-37/TEMPERATURE,28.44883
2024-10-26 10:26:35,SA-37/LINE_LEVEL,560
2024-10-26 10:26:35,SA-37/LINE_LEVEL,576
2024-10-26 10:26:37,SA-37/LINE_LEVEL,560
2024-10-26 10:26:43,SA-37/TEMPERATURE,27.98069
2024-10-26 10:26:47,SA-37/TEMPERATURE,28.44883
2024-10-26 10:26:47,SA-37/LINE_LEVEL,544
2024-10-26 10:26:49,SA-37/LINE_LEVEL,560
2024-10-26 10:26:51,SA-37/LINE_LEVEL,576
2024-10-26 10:26:53,SA-37/TEMPERATURE,27.98069
2024-10-26 10:26:53,SA-37/LINE_LEVEL,560
2024-10-26 10:26:55,SA-37/TEMPERATURE,28.44883
2024-10-26 10:26:55,SA-37/LINE_LEVEL,576
2024-10-26 10:26:57,SA-37/LINE_LEVEL,544
2024-10-26 10:27:00,SA-37/LINE_LEVEL,560
2024-10-26 10:27:06,SA-37/LINE_LEVEL,544
2024-10-26 10:27:09,SA-37/TEMPERATURE,27.98069
2024-10-26 10:27:09,SA-37/LINE_LEVEL,560
2024-10-26 10:27:11,SA-37/TEMPERATURE,28.44883
2024-10-26 10:27:13,SA-37/LINE_LEVEL,576
2024-10-26 10:27:15,SA-37/LINE_LEVEL,560
2024-10-26 10:27:26,SA-37/LINE_LEVEL,544
2024-10-26 10:27:29,SA-37/LINE_LEVEL,560
2024-10-26 10:27:39,SA-37/LINE_LEVEL,544
2024-10-26 10:27:41,SA-37/LINE_LEVEL,560
2024-10-26 10:27:44,SA-37/LINE_LEVEL,544
2024-10-26 10:27:47,SA-37/LINE_LEVEL,560
2024-10-26 10:27:52,SA-37/LINE_LEVEL,544
2024-10-26 10:27:55,SA-37/LINE_LEVEL,560
2024-10-26 10:27:57,SA-37/LINE_LEVEL,544
2024-10-26 10:27:59,SA-37/LINE_LEVEL,560
2024-10-26 10:28:01,SA-37/LINE_LEVEL,576
2024-10-26 10:28:03,SA-37/LINE_LEVEL,560
2024-10-26 10:28:05,SA-37/LINE_LEVEL,576
2024-10-26 10:28:07,SA-37/LINE_LEVEL,544
2024-10-26 10:28:09,SA-37/LINE_LEVEL,560
2024-10-26 10:28:11,SA-37/LINE_LEVEL,544
2024-10-26 10:28:13,SA-37/LINE_LEVEL,560
2024-10-26 10:28:19,SA-37/LINE_LEVEL,544
2024-10-26 10:28:23,SA-37/LINE_LEVEL,560
2024-10-26 10:28:29,SA-37/LINE_LEVEL,544
2024-10-26 10:28:31,SA-37/LINE_LEVEL,560
2024-10-26 10:28:40,SA-37/LINE_LEVEL,544
2024-10-26 10:28:43,SA-37/LINE_LEVEL,560
2024-10-26 10:28:47,SA-37/LINE_LEVEL,544
2024-10-26 10:28:49,SA-37/LINE_LEVEL,576
2024-10-26 10:28:51,SA-37/LINE_LEVEL,560
2024-10-26 10:28:57,SA-37/LINE_LEVEL,576
2024-10-26 10:28:59,SA-37/LINE_LEVEL,560
2024-10-26 10:29:03,SA-37/LINE_LEVEL,544
2024-10-26 10:29:05,SA-37/LINE_LEVEL,560
2024-10-26 10:29:09,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:09,SA-37/LINE_LEVEL,576
2024-10-26 10:29:11,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:11,SA-37/LINE_LEVEL,544
2024-10-26 10:29:13,SA-37/LINE_LEVEL,560
2024-10-26 10:29:15,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:15,SA-37/LINE_LEVEL,544
2024-10-26 10:29:17,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:17,SA-37/LINE_LEVEL,560
2024-10-26 10:29:19,SA-37/LINE_LEVEL,576
2024-10-26 10:29:23,SA-37/LINE_LEVEL,560
2024-10-26 10:29:30,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:30,SA-37/LINE_LEVEL,544
2024-10-26 10:29:33,SA-37/LINE_LEVEL,576
2024-10-26 10:29:35,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:35,SA-37/LINE_LEVEL,560
2024-10-26 10:29:38,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:41,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:41,SA-37/LINE_LEVEL,544
2024-10-26 10:29:43,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:43,SA-37/LINE_LEVEL,576
2024-10-26 10:29:45,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:45,SA-37/LINE_LEVEL,560
2024-10-26 10:29:47,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:47,SA-37/LINE_LEVEL,544
2024-10-26 10:29:49,SA-37/LINE_LEVEL,560
2024-10-26 10:29:51,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:51,SA-37/LINE_LEVEL,544
2024-10-26 10:29:55,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:55,SA-37/LINE_LEVEL,560
2024-10-26 10:29:57,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:57,SA-37/LINE_LEVEL,576
2024-10-26 10:29:59,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:59,SA-37/LINE_LEVEL,544
2024-10-26 10:30:01,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:01,SA-37/LINE_LEVEL,560
2024-10-26 10:30:05,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:07,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:09,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:10,SA-37/LINE_LEVEL,576
2024-10-26 10:30:11,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:11,SA-37/LINE_LEVEL,560
2024-10-26 10:30:13,SA-37/LINE_LEVEL,544
2024-10-26 10:30:15,SA-37/LINE_LEVEL,560
2024-10-26 10:30:19,SA-37/LINE_LEVEL,576
2024-10-26 10:30:21,SA-37/LINE_LEVEL,560
2024-10-26 10:30:23,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:25,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:25,SA-37/LINE_LEVEL,544
2024-10-26 10:30:30,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:31,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:33,SA-37/LINE_LEVEL,560
2024-10-26 10:30:35,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:37,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:39,SA-37/LINE_LEVEL,544
2024-10-26 10:30:41,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:41,SA-37/LINE_LEVEL,560
2024-10-26 10:30:43,SA-37/LINE_LEVEL,544
2024-10-26 10:30:48,SA-37/LINE_LEVEL,560
2024-10-26 10:30:50,SA-37/LINE_LEVEL,544
2024-10-26 10:30:55,SA-37/LINE_LEVEL,576
2024-10-26 10:30:57,SA-37/LINE_LEVEL,544
2024-10-26 10:31:10,SA-37/LINE_LEVEL,560
2024-10-26 10:31:17,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:19,SA-37/TEMPERATURE,28.91698
2024-10-26 10:31:21,SA-37/LINE_LEVEL,544
2024-10-26 10:31:23,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:23,SA-37/LINE_LEVEL,560
2024-10-26 10:31:25,SA-37/TEMPERATURE,28.91698
2024-10-26 10:31:25,SA-37/LINE_LEVEL,576
2024-10-26 10:31:27,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:27,SA-37/LINE_LEVEL,544
2024-10-26 10:31:33,SA-37/LINE_LEVEL,560
2024-10-26 10:31:35,SA-37/LINE_LEVEL,544
2024-10-26 10:31:37,SA-37/LINE_LEVEL,560
2024-10-26 10:31:39,SA-37/TEMPERATURE,28.91698
2024-10-26 10:31:39,SA-37/LINE_LEVEL,544
2024-10-26 10:31:41,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:41,SA-37/LINE_LEVEL,576
2024-10-26 10:31:43,SA-37/LINE_LEVEL,544
2024-10-26 10:31:49,SA-37/LINE_LEVEL,560
2024-10-26 10:31:57,SA-37/TEMPERATURE,27.98069
2024-10-26 10:31:57,SA-37/LINE_LEVEL,544
2024-10-26 10:31:59,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:59,SA-37/LINE_LEVEL,560
2024-10-26 10:32:05,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:07,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:11,SA-37/LINE_LEVEL,544
2024-10-26 10:32:13,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:13,SA-37/LINE_LEVEL,560
2024-10-26 10:32:17,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:19,SA-37/LINE_LEVEL,544
2024-10-26 10:32:21,SA-37/LINE_LEVEL,560
2024-10-26 10:32:23,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:27,SA-37/LINE_LEVEL,544
2024-10-26 10:32:30,SA-37/LINE_LEVEL,560
2024-10-26 10:32:31,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:31,SA-37/LINE_LEVEL,544
2024-10-26 10:32:33,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:33,SA-37/LINE_LEVEL,560
2024-10-26 10:32:35,SA-37/LINE_LEVEL,544
2024-10-26 10:32:39,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:39,SA-37/LINE_LEVEL,560
2024-10-26 10:32:41,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:53,SA-37/LINE_LEVEL,544
2024-10-26 10:32:55,SA-37/LINE_LEVEL,560
2024-10-26 10:32:57,SA-37/TEMPERATURE,27.51254
2024-10-26 10:32:59,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:59,SA-37/LINE_LEVEL,576
2024-10-26 10:33:01,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:01,SA-37/LINE_LEVEL,560
2024-10-26 10:33:03,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:05,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:05,SA-37/LINE_LEVEL,544
2024-10-26 10:33:07,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:07,SA-37/LINE_LEVEL,560
2024-10-26 10:33:11,SA-37/LINE_LEVEL,576
2024-10-26 10:33:13,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:13,SA-37/LINE_LEVEL,560
2024-10-26 10:33:15,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:17,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:17,SA-37/LINE_LEVEL,576
2024-10-26 10:33:19,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:19,SA-37/LINE_LEVEL,560
2024-10-26 10:33:21,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:27,SA-37/LINE_LEVEL,544
2024-10-26 10:33:29,SA-37/LINE_LEVEL,560
2024-10-26 10:33:31,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:33,SA-37/LINE_LEVEL,544
2024-10-26 10:33:37,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:39,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:41,SA-37/LINE_LEVEL,560
2024-10-26 10:33:43,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:49,SA-37/LINE_LEVEL,544
2024-10-26 10:33:53,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:53,SA-37/LINE_LEVEL,560
2024-10-26 10:33:55,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:57,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:57,SA-37/LINE_LEVEL,544
2024-10-26 10:33:59,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:03,SA-37/TEMPERATURE,27.98069
2024-10-26 10:34:07,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:07,SA-37/LINE_LEVEL,560
2024-10-26 10:34:21,SA-37/LINE_LEVEL,544
2024-10-26 10:34:23,SA-37/TEMPERATURE,27.98069
2024-10-26 10:34:23,SA-37/LINE_LEVEL,560
2024-10-26 10:34:29,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:29,SA-37/LINE_LEVEL,544
2024-10-26 10:34:33,SA-37/LINE_LEVEL,560
2024-10-26 10:34:35,SA-37/TEMPERATURE,27.98069
2024-10-26 10:34:35,SA-37/LINE_LEVEL,544
2024-10-26 10:34:37,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:39,SA-37/LINE_LEVEL,560
2024-10-26 10:34:41,SA-37/LINE_LEVEL,544
2024-10-26 10:34:43,SA-37/LINE_LEVEL,560
2024-10-26 10:34:47,SA-37/LINE_LEVEL,544
2024-10-26 10:34:51,SA-37/LINE_LEVEL,560
2024-10-26 10:34:53,SA-37/LINE_LEVEL,544
2024-10-26 10:34:55,SA-37/LINE_LEVEL,560
